[LINE:28]# 2020-12-17 10:51:44,632 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 10:51:47,630 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 10:59:46,000 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:45:43,352 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:45:45,621 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:48:01,977 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:48:43,882 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:49:06,710 - INFO - view - Пользователь вошел
[LINE:28]# 2020-12-17 12:49:08,803 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:35:57,658 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:36:02,579 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:36:05,058 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:36:08,634 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:36:15,770 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:15,534 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:16,841 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:20,170 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:21,547 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:24,027 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 08:37:40,157 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:41:12,313 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:41:14,526 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:41:18,393 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:46:14,592 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:46:16,712 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:47:02,189 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:47:20,358 - INFO - view - Пользователь вошел
[LINE:28]# 2021-01-18 10:49:06,961 - INFO - view - Пользователь вошел
[LINE:106]# 2021-01-27 13:33:13,098 - ERROR - FDataBase - Ошибка добавления заявки в БД no such table: orders
[LINE:106]# 2021-01-27 13:33:17,152 - ERROR - FDataBase - Ошибка добавления заявки в БД no such table: orders
[LINE:106]# 2021-01-27 13:33:42,070 - ERROR - FDataBase - Ошибка добавления заявки в БД no such table: orders
[LINE:106]# 2021-01-27 13:35:38,342 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 30 columns but 5 values were supplied
[LINE:106]# 2021-01-27 13:41:55,915 - ERROR - FDataBase - Ошибка добавления заявки в БД database is locked[LINE:110]# 2021-02-01 12:59:14,949 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 12:59:20,724 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 12:59:48,225 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 12:59:49,893 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:44,072 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:46,325 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:49,429 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:51,262 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:56,536 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:00:58,726 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:01:00,596 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:12:40,593 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:12:41,965 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:12:56,504 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:54:00,802 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:54:03,895 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:54:06,608 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:55:05,395 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:55:06,828 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:56:37,585 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:56:39,410 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:58:22,416 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
[LINE:110]# 2021-02-01 13:58:39,705 - ERROR - FDataBase - Ошибка добавления заявки в БД table orders has 69 columns but 30 values were supplied
